team,season,game_index,date,home_away,versus,goals,goals_against,win_loss,overtime,cum_wins,cum_losses,cum_overtime_losses,streak,shots,penalty_in_minutes_against,power_play_goals,power_play_opportunities,short_handed_goals,shots_against,penalty_in_minutes_in_favor,power_play_goals_against,power_play_opportunities_against,short_handed_goals_against,attendance,game_length
ANA,2016.0,1,2015-10-10,A,SJS,0,2,L,NA,0,1,0,L 1,27,2,0,1,0,44,2,0,1,0,17562.0,145.0
ANA,2016.0,2,2015-10-12,H,VAN,1,2,L,SO,0,1,1,L 2,29,9,0,2,0,25,9,0,2,0,17174.0,145.0
ANA,2016.0,3,2015-10-14,H,ARI,0,4,L,NA,0,2,1,L 3,37,17,0,3,0,29,11,1,6,0,15172.0,153.0
ANA,2016.0,4,2015-10-16,H,COL,0,3,L,NA,0,3,1,L 4,35,8,0,5,0,25,14,0,2,0,17174.0,149.0
ANA,2016.0,5,2015-10-18,H,MIN,4,1,W,NA,1,3,1,W 1,22,2,0,2,0,35,4,0,1,0,16784.0,154.0
ANA,2016.0,6,2015-10-22,A,NSH,1,5,L,NA,1,4,1,L 1,28,10,1,5,0,29,10,1,5,0,17113.0,148.0
ANA,2016.0,7,2015-10-24,A,MIN,0,3,L,NA,1,5,1,L 2,15,8,0,1,0,30,2,0,5,1,19034.0,149.0
ANA,2016.0,8,2015-10-26,A,CHI,0,1,L,OT,1,5,2,L 3,39,25,0,3,0,24,15,0,3,0,21529.0,156.0
ANA,2016.0,9,2015-10-27,A,DAL,3,4,L,NA,1,6,2,L 4,20,11,1,4,0,34,13,1,3,1,17798.0,152.0
ANA,2016.0,10,2015-10-29,A,STL,1,2,L,NA,1,7,2,L 5,23,17,1,4,0,34,15,0,5,0,16904.0,150.0
ANA,2016.0,11,2015-11-01,H,NSH,4,2,W,NA,2,7,2,W 1,28,12,0,2,0,42,8,1,6,0,16276.0,152.0
ANA,2016.0,12,2015-11-04,H,FLA,3,2,W,SO,3,7,2,W 2,39,6,1,5,0,25,10,0,3,0,15169.0,169.0
ANA,2016.0,13,2015-11-06,H,CBJ,4,2,W,NA,4,7,2,W 3,34,8,1,3,0,36,10,0,2,0,17174.0,146.0
ANA,2016.0,14,2015-11-07,A,SJS,1,0,W,NA,5,7,2,W 4,17,28,0,2,0,31,24,0,4,0,17562.0,152.0
ANA,2016.0,15,2015-11-09,H,ARI,3,4,L,OT,5,7,3,L 1,36,10,1,4,0,28,8,1,5,0,13864.0,150.0
ANA,2016.0,16,2015-11-11,H,EDM,3,4,L,OT,5,7,4,L 2,37,9,1,2,0,27,9,1,2,0,16505.0,150.0
ANA,2016.0,17,2015-11-13,H,NYI,1,4,L,NA,5,8,4,L 3,25,17,1,3,0,29,13,0,5,0,17174.0,148.0
ANA,2016.0,18,2015-11-16,A,CAR,4,1,W,NA,6,8,4,W 1,20,6,0,0,0,25,0,0,3,0,9305.0,142.0
ANA,2016.0,19,2015-11-17,A,NSH,2,3,L,NA,6,9,4,L 1,40,19,0,5,0,21,17,1,6,0,17113.0,150.0
ANA,2016.0,20,2015-11-19,A,FLA,3,1,W,NA,7,9,4,W 1,41,11,1,3,1,25,11,0,3,0,10947.0,150.0
ANA,2016.0,21,2015-11-21,A,TBL,0,5,L,NA,7,10,4,L 1,30,14,0,1,0,24,8,2,4,0,19092.0,151.0
ANA,2016.0,22,2015-11-24,H,CGY,5,3,W,NA,8,10,4,W 1,32,9,2,2,0,25,9,0,2,0,15688.0,152.0
ANA,2016.0,23,2015-11-25,A,ARI,2,4,L,NA,8,11,4,L 1,31,8,2,3,0,34,8,1,3,0,11578.0,152.0
ANA,2016.0,24,2015-11-27,H,CHI,2,3,L,OT,8,11,5,L 2,25,10,0,3,0,32,8,1,4,0,17174.0,163.0
ANA,2016.0,25,2015-11-30,H,VAN,4,0,W,NA,9,11,5,W 1,30,8,1,3,0,25,18,0,3,0,14006.0,149.0
ANA,2016.0,26,2015-12-02,H,TBL,1,2,L,NA,9,12,5,L 1,33,8,0,4,0,22,8,1,4,0,14741.0,160.0
ANA,2016.0,27,2015-12-04,H,SJS,1,0,W,NA,10,12,5,W 1,26,11,0,4,0,23,13,0,4,0,15701.0,146.0
ANA,2016.0,28,2015-12-06,H,PIT,2,1,W,NA,11,12,5,W 2,25,6,0,1,0,24,4,0,2,0,15836.0,149.0
ANA,2016.0,29,2015-12-11,H,CAR,1,5,L,NA,11,13,5,L 1,32,22,0,1,0,24,9,1,3,0,17174.0,147.0
ANA,2016.0,30,2015-12-17,A,BUF,0,3,L,NA,11,14,5,L 2,44,8,0,3,0,22,8,0,3,0,18801.0,151.0
ANA,2016.0,31,2015-12-19,A,NJD,2,1,W,NA,12,14,5,W 1,18,4,0,0,0,22,0,0,2,0,16514.0,140.0
ANA,2016.0,32,2015-12-21,A,NYI,2,5,L,NA,12,15,5,L 1,29,13,0,1,0,31,9,0,3,0,13578.0,146.0
ANA,2016.0,33,2015-12-22,A,NYR,2,3,L,OT,12,15,6,L 2,19,20,0,4,0,22,18,1,5,0,18006.0,158.0
ANA,2016.0,34,2015-12-27,H,PHI,4,2,W,NA,13,15,6,W 1,37,25,2,3,1,26,23,1,5,0,17322.0,149.0
ANA,2016.0,35,2015-12-29,A,CGY,1,0,W,NA,14,15,6,W 2,21,25,0,2,0,14,13,0,3,0,19289.0,138.0
ANA,2016.0,36,2015-12-31,A,EDM,1,0,W,NA,15,15,6,W 3,35,13,1,2,0,21,11,0,3,0,16839.0,146.0
ANA,2016.0,37,2016-01-01,A,VAN,1,2,L,SO,15,15,7,L 1,28,6,1,2,0,25,4,0,3,0,18570.0,150.0
ANA,2016.0,38,2016-01-03,H,WPG,4,1,W,NA,16,15,7,W 1,35,17,2,2,0,20,13,0,4,0,17174.0,148.0
ANA,2016.0,39,2016-01-06,H,TOR,0,4,L,NA,16,16,7,L 1,39,31,0,2,0,38,13,0,6,0,16283.0,155.0
ANA,2016.0,40,2016-01-08,H,STL,4,3,W,SO,17,16,7,W 1,39,13,1,5,0,28,15,0,4,0,16250.0,175.0
ANA,2016.0,41,2016-01-10,H,DET,1,2,L,NA,17,17,7,L 1,31,6,0,2,0,24,4,0,3,0,17174.0,146.0
ANA,2016.0,42,2016-01-13,H,OTT,4,1,W,NA,18,17,7,W 1,38,14,1,3,0,25,16,0,2,0,15791.0,146.0
ANA,2016.0,43,2016-01-15,H,DAL,4,2,W,NA,19,17,7,W 2,35,8,1,3,0,24,6,1,4,1,16201.0,156.0
ANA,2016.0,44,2016-01-17,H,LAK,2,3,L,NA,19,18,7,L 1,32,14,0,3,0,26,16,1,2,0,17227.0,160.0
ANA,2016.0,45,2016-01-20,H,MIN,3,1,W,NA,20,18,7,W 1,27,6,0,1,0,26,2,0,3,0,15962.0,148.0
ANA,2016.0,46,2016-01-23,A,DET,4,3,W,NA,21,18,7,W 2,35,8,0,4,0,27,8,0,4,0,20027.0,153.0
ANA,2016.0,47,2016-01-26,A,BOS,6,2,W,NA,22,18,7,W 3,39,15,1,4,0,34,15,0,4,0,17565.0,160.0
ANA,2016.0,48,2016-02-02,H,SJS,3,2,W,NA,23,18,7,W 4,25,6,0,4,1,32,8,0,3,0,16588.0,147.0
ANA,2016.0,49,2016-02-04,A,LAK,4,2,W,NA,24,18,7,W 5,24,6,1,5,0,25,12,1,2,0,18230.0,153.0
ANA,2016.0,50,2016-02-05,H,ARI,5,2,W,NA,25,18,7,W 6,41,10,1,7,0,25,14,1,5,0,17342.0,161.0
ANA,2016.0,51,2016-02-08,A,PIT,2,6,L,NA,25,19,7,L 1,38,12,0,2,0,35,4,0,1,0,18418.0,154.0
ANA,2016.0,52,2016-02-09,A,PHI,4,1,W,NA,26,19,7,W 1,26,23,1,4,0,29,19,1,7,0,18717.0,157.0
ANA,2016.0,53,2016-02-11,A,CBJ,3,4,L,SO,26,19,8,L 1,27,13,0,2,0,34,9,1,4,0,12117.0,154.0
ANA,2016.0,54,2016-02-13,A,CHI,3,2,W,OT,27,19,8,W 1,44,6,1,3,0,23,6,1,2,0,22107.0,156.0
ANA,2016.0,55,2016-02-15,A,CGY,6,4,W,NA,28,19,8,W 2,28,10,3,3,0,37,8,2,5,0,19289.0,152.0
ANA,2016.0,56,2016-02-16,A,EDM,5,3,W,NA,29,19,8,W 3,31,8,1,4,1,27,6,2,4,0,16839.0,163.0
ANA,2016.0,57,2016-02-18,A,VAN,5,2,W,NA,30,19,8,W 4,33,10,1,3,0,21,8,1,4,0,18435.0,150.0
ANA,2016.0,58,2016-02-21,H,CGY,5,2,W,NA,31,19,8,W 5,33,14,2,5,0,24,12,1,5,0,17174.0,151.0
ANA,2016.0,59,2016-02-24,H,BUF,1,0,W,NA,32,19,8,W 6,29,8,1,3,0,26,6,0,4,0,16543.0,153.0
ANA,2016.0,60,2016-02-26,H,EDM,2,1,W,OT,33,19,8,W 7,34,6,1,3,0,18,6,0,3,0,17174.0,138.0
ANA,2016.0,61,2016-02-28,H,LAK,4,2,W,NA,34,19,8,W 8,29,12,3,5,0,29,14,1,4,0,17174.0,164.0
ANA,2016.0,62,2016-03-02,H,MTL,3,2,W,SO,35,19,8,W 9,35,13,1,5,0,27,15,0,3,0,15273.0,167.0
ANA,2016.0,63,2016-03-03,A,ARI,5,1,W,NA,36,19,8,W 10,21,38,3,7,0,28,44,1,6,0,11999.0,151.0
ANA,2016.0,64,2016-03-05,A,LAK,3,2,W,NA,37,19,8,W 11,22,44,2,2,0,34,36,2,6,0,18230.0,156.0
ANA,2016.0,65,2016-03-07,H,WSH,1,2,L,SO,37,19,9,L 1,28,4,0,4,0,32,8,0,4,0,17174.0,158.0
ANA,2016.0,66,2016-03-09,A,COL,0,3,L,NA,37,20,9,L 2,37,8,0,3,0,26,10,0,2,0,14292.0,145.0
ANA,2016.0,67,2016-03-11,A,STL,2,5,L,NA,37,21,9,L 3,28,8,1,3,0,23,6,0,3,0,19412.0,148.0
ANA,2016.0,68,2016-03-14,H,NJD,7,1,W,NA,38,21,9,W 1,27,6,1,3,0,25,6,0,3,0,15423.0,153.0
ANA,2016.0,69,2016-03-16,H,NYR,1,2,L,NA,38,22,9,L 1,23,6,0,0,0,23,0,0,3,0,15400.0,149.0
ANA,2016.0,70,2016-03-18,H,BOS,4,0,W,NA,39,22,9,W 1,26,9,0,2,0,38,11,0,2,0,16707.0,140.0
ANA,2016.0,71,2016-03-20,A,WPG,3,2,W,OT,40,22,9,W 2,33,11,1,2,0,29,9,0,3,0,15294.0,160.0
ANA,2016.0,72,2016-03-22,A,MTL,3,4,L,NA,40,23,9,L 1,35,7,0,2,0,23,9,0,1,0,21288.0,148.0
ANA,2016.0,73,2016-03-24,A,TOR,5,6,L,OT,40,23,10,L 2,38,20,2,4,1,26,8,3,5,0,18935.0,158.0
ANA,2016.0,74,2016-03-26,A,OTT,4,3,W,OT,41,23,10,W 1,39,18,1,4,0,33,18,0,4,0,18162.0,149.0
ANA,2016.0,75,2016-03-28,A,EDM,2,1,W,NA,42,23,10,W 2,25,6,0,4,0,28,8,0,3,0,16839.0,147.0
ANA,2016.0,76,2016-03-30,H,CGY,8,3,W,NA,43,23,10,W 3,27,18,1,3,0,26,28,1,3,0,16004.0,152.0
ANA,2016.0,77,2016-04-01,H,VAN,2,3,L,NA,43,24,10,L 1,36,6,0,1,0,28,4,0,2,0,16331.0,149.0
ANA,2016.0,78,2016-04-03,H,DAL,3,1,W,NA,44,24,10,W 1,24,10,0,2,2,25,4,0,4,0,16585.0,144.0
ANA,2016.0,79,2016-04-05,H,WPG,1,2,L,OT,44,24,11,L 1,28,6,1,4,0,26,8,0,3,0,16743.0,152.0
ANA,2016.0,80,2016-04-07,A,LAK,1,2,L,NA,44,25,11,L 2,20,17,0,3,0,31,17,0,3,0,18511.0,159.0
ANA,2016.0,81,2016-04-09,A,COL,5,3,W,NA,45,25,11,W 1,31,16,2,4,0,32,19,1,7,0,17932.0,147.0
ANA,2016.0,82,2016-04-10,A,WSH,2,0,W,NA,46,25,11,W 2,21,13,0,3,0,24,13,0,3,0,18506.0,142.0
ARI,2016.0,1,2015-10-09,A,LAK,4,1,W,NA,1,0,0,W 1,22,10,0,3,0,41,8,0,4,1,18230.0,147.0
ARI,2016.0,2,2015-10-10,H,PIT,2,1,W,NA,2,0,0,W 2,39,14,0,4,0,28,12,0,4,0,17125.0,150.0
ARI,2016.0,3,2015-10-14,A,ANA,4,0,W,NA,3,0,0,W 3,29,11,1,6,0,37,17,0,3,0,15172.0,153.0
ARI,2016.0,4,2015-10-15,H,MIN,3,4,L,NA,3,1,0,L 1,30,24,0,7,0,24,16,1,5,1,12029.0,164.0
ARI,2016.0,5,2015-10-17,H,BOS,3,5,L,NA,3,2,0,L 2,23,17,1,4,0,43,13,3,6,1,13411.0,155.0
ARI,2016.0,6,2015-10-20,A,NJD,2,3,L,OT,3,2,1,L 3,20,9,1,5,0,25,15,0,3,1,12171.0,152.0
ARI,2016.0,7,2015-10-22,A,NYR,1,4,L,NA,3,3,1,L 4,35,6,0,3,0,27,6,1,3,0,18006.0,158.0
ARI,2016.0,8,2015-10-24,A,OTT,4,1,W,NA,4,3,1,W 1,26,6,0,2,0,36,4,0,3,0,17270.0,149.0
ARI,2016.0,9,2015-10-26,A,TOR,4,3,W,NA,5,3,1,W 2,24,6,2,4,0,27,10,0,2,0,18944.0,168.0
ARI,2016.0,10,2015-10-27,A,BOS,0,6,L,NA,5,4,1,L 1,24,28,0,3,0,27,4,1,4,0,17565.0,154.0
ARI,2016.0,11,2015-10-30,H,VAN,3,4,L,NA,5,5,1,L 2,31,8,0,2,0,22,4,1,4,0,12166.0,142.0
ARI,2016.0,12,2015-11-05,H,COL,4,2,W,NA,6,5,1,W 1,28,10,0,6,0,28,12,0,5,0,10270.0,157.0
ARI,2016.0,13,2015-11-07,H,NYR,1,4,L,NA,6,6,1,L 1,40,8,1,4,0,30,8,1,4,0,13029.0,151.0
ARI,2016.0,14,2015-11-09,A,ANA,4,3,W,OT,7,6,1,W 1,28,8,1,5,0,36,10,1,4,0,13864.0,150.0
ARI,2016.0,15,2015-11-10,A,LAK,3,2,W,NA,8,6,1,W 2,25,4,0,3,0,35,4,1,2,0,18230.0,146.0
ARI,2016.0,16,2015-11-12,H,EDM,4,1,W,NA,9,6,1,W 3,21,8,1,3,0,28,6,0,4,0,15545.0,146.0
ARI,2016.0,17,2015-11-14,A,CBJ,2,5,L,NA,9,7,1,L 1,29,38,0,5,0,21,30,2,4,0,13702.0,158.0
ARI,2016.0,18,2015-11-16,A,NYI,2,5,L,NA,9,8,1,L 2,33,8,1,3,0,32,6,1,4,0,11841.0,144.0
ARI,2016.0,19,2015-11-19,A,MTL,3,2,W,NA,10,8,1,W 1,20,10,1,2,0,33,4,0,5,0,21288.0,157.0
ARI,2016.0,20,2015-11-21,A,WPG,2,3,L,NA,10,9,1,L 1,29,12,2,6,0,23,12,0,5,1,15294.0,149.0
ARI,2016.0,21,2015-11-25,H,ANA,4,2,W,NA,11,9,1,W 1,34,8,1,3,0,31,8,2,3,0,11578.0,152.0
ARI,2016.0,22,2015-11-27,H,CGY,2,1,W,OT,12,9,1,W 2,21,14,0,2,0,26,6,1,6,0,11495.0,152.0
ARI,2016.0,23,2015-11-28,H,OTT,4,3,W,NA,13,9,1,W 3,19,6,0,2,0,38,4,1,3,0,12727.0,154.0
ARI,2016.0,24,2015-12-01,A,NSH,2,5,L,NA,13,10,1,L 1,15,4,1,2,0,41,4,1,2,0,15091.0,148.0
ARI,2016.0,25,2015-12-03,A,DET,1,5,L,NA,13,11,1,L 2,27,13,0,1,0,44,7,0,4,0,20027.0,151.0
ARI,2016.0,26,2015-12-04,A,BUF,2,5,L,NA,13,12,1,L 3,20,4,0,3,0,28,6,0,2,1,18204.0,154.0
ARI,2016.0,27,2015-12-06,A,CAR,4,5,L,NA,13,13,1,L 4,23,8,1,4,0,18,8,1,4,0,9021.0,147.0
ARI,2016.0,28,2015-12-08,A,STL,1,4,L,NA,13,14,1,L 5,23,6,0,4,0,22,8,0,3,1,16301.0,155.0
ARI,2016.0,29,2015-12-11,H,MIN,2,1,W,OT,14,14,1,W 1,21,8,1,6,0,28,12,0,4,0,14404.0,156.0
ARI,2016.0,30,2015-12-12,H,CAR,4,5,L,OT,14,14,2,L 1,29,6,0,2,0,33,4,2,3,0,12668.0,154.0
ARI,2016.0,31,2015-12-17,H,CBJ,5,7,L,NA,14,15,2,L 2,32,7,1,3,0,21,11,0,1,0,11120.0,152.0
ARI,2016.0,32,2015-12-19,H,NYI,1,0,W,NA,15,15,2,W 1,29,6,0,2,0,25,4,0,3,0,11878.0,143.0
ARI,2016.0,33,2015-12-22,H,TOR,3,2,W,NA,16,15,2,W 2,26,9,0,4,0,39,13,1,2,0,12234.0,159.0
ARI,2016.0,34,2015-12-26,H,LAK,3,4,L,OT,16,15,3,L 1,27,19,3,6,0,33,25,2,6,0,15277.0,156.0
ARI,2016.0,35,2015-12-27,A,COL,2,1,W,OT,17,15,3,W 1,28,27,0,3,0,39,17,1,3,0,18064.0,161.0
ARI,2016.0,36,2015-12-29,H,CHI,5,7,L,NA,17,16,3,L 1,37,8,2,8,0,28,14,3,4,1,17197.0,163.0
ARI,2016.0,37,2015-12-31,H,WPG,4,2,W,NA,18,16,3,W 1,21,8,2,5,0,37,12,0,3,0,14027.0,154.0
ARI,2016.0,38,2016-01-02,A,EDM,3,4,L,SO,18,16,4,L 1,34,8,0,3,0,41,8,1,4,0,16839.0,167.0
ARI,2016.0,39,2016-01-04,A,VAN,3,2,W,NA,19,16,4,W 1,29,4,1,2,0,37,4,1,2,0,18377.0,156.0
ARI,2016.0,40,2016-01-07,A,CGY,2,1,W,NA,20,16,4,W 2,33,6,1,3,0,26,6,1,3,0,19272.0,147.0
ARI,2016.0,41,2016-01-09,H,NSH,4,0,W,NA,21,16,4,W 3,29,8,1,2,0,26,6,0,3,0,12345.0,147.0
ARI,2016.0,42,2016-01-12,H,EDM,4,3,W,OT,22,16,4,W 4,31,6,3,4,0,28,8,2,3,0,11391.0,158.0
ARI,2016.0,43,2016-01-14,H,DET,2,3,L,OT,22,16,5,L 1,29,8,1,3,0,25,8,2,3,0,12014.0,151.0
ARI,2016.0,44,2016-01-16,H,NJD,0,2,L,NA,22,17,5,L 2,38,11,0,5,0,16,17,0,2,0,11745.0,145.0
ARI,2016.0,45,2016-01-18,H,BUF,1,2,L,NA,22,18,5,L 3,27,40,0,5,0,28,35,2,3,0,11134.0,152.0
ARI,2016.0,46,2016-01-21,H,SJS,1,3,L,NA,22,19,5,L 4,24,4,0,1,0,23,2,1,2,0,12251.0,142.0
ARI,2016.0,47,2016-01-23,H,LAK,3,2,W,NA,23,19,5,W 1,24,6,1,4,0,28,20,0,2,0,14195.0,153.0
ARI,2016.0,48,2016-01-25,A,MIN,2,1,W,SO,24,19,5,W 2,24,4,0,3,1,35,6,0,2,0,19020.0,168.0
ARI,2016.0,49,2016-01-26,A,WPG,2,5,L,NA,24,20,5,L 1,34,13,0,5,0,37,15,1,4,1,15294.0,147.0
ARI,2016.0,50,2016-02-02,H,LAK,2,6,L,NA,24,21,5,L 2,26,16,0,5,0,35,12,3,7,0,12261.0,156.0
ARI,2016.0,51,2016-02-04,H,CHI,4,5,L,OT,24,21,6,L 3,28,22,2,4,0,40,10,0,4,1,17125.0,166.0
ARI,2016.0,52,2016-02-05,A,ANA,2,5,L,NA,24,22,6,L 4,25,14,1,5,0,41,10,1,7,0,17342.0,161.0
ARI,2016.0,53,2016-02-10,H,VAN,1,2,L,NA,24,23,6,L 5,34,8,1,4,0,26,6,0,4,0,12255.0,159.0
ARI,2016.0,54,2016-02-12,H,CGY,4,1,W,NA,25,23,6,W 1,35,16,3,7,0,27,18,0,5,0,13643.0,155.0
ARI,2016.0,55,2016-02-13,A,SJS,1,4,L,NA,25,24,6,L 1,23,12,0,3,0,28,8,1,5,0,17562.0,152.0
ARI,2016.0,56,2016-02-15,H,MTL,6,2,W,NA,26,24,6,W 1,27,8,2,4,0,19,21,0,1,0,14338.0,136.0
ARI,2016.0,57,2016-02-18,H,DAL,6,3,W,NA,27,24,6,W 2,42,8,1,3,0,39,8,1,4,0,11853.0,155.0
ARI,2016.0,58,2016-02-20,H,STL,4,6,L,NA,27,25,6,L 1,22,11,0,2,0,40,9,1,3,0,15839.0,149.0
ARI,2016.0,59,2016-02-22,A,WSH,2,3,L,NA,27,26,6,L 2,27,8,0,6,0,34,12,1,4,0,18506.0,158.0
ARI,2016.0,60,2016-02-23,A,TBL,1,2,L,NA,27,27,6,L 3,30,6,0,2,0,36,6,0,2,1,19092.0,157.0
ARI,2016.0,61,2016-02-25,A,FLA,2,3,L,NA,27,28,6,L 4,24,10,1,3,0,25,6,1,4,0,13134.0,155.0
ARI,2016.0,62,2016-02-27,A,PHI,2,4,L,NA,27,29,6,L 5,31,13,0,4,0,33,13,1,4,0,19773.0,150.0
ARI,2016.0,63,2016-02-29,A,PIT,0,6,L,NA,27,30,6,L 6,30,10,0,3,0,33,6,1,5,0,18435.0,149.0
ARI,2016.0,64,2016-03-03,H,ANA,1,5,L,NA,27,31,6,L 7,28,44,1,6,0,21,38,3,7,0,11999.0,151.0
ARI,2016.0,65,2016-03-05,H,FLA,5,1,W,NA,28,31,6,W 1,26,17,1,3,1,33,13,0,5,0,14825.0,151.0
ARI,2016.0,66,2016-03-07,A,COL,1,3,L,NA,28,32,6,L 1,38,4,0,3,0,37,6,1,2,0,15393.0,149.0
ARI,2016.0,67,2016-03-09,A,VAN,2,3,L,OT,28,32,7,L 2,34,8,1,1,0,31,2,0,4,0,18374.0,153.0
ARI,2016.0,68,2016-03-11,A,CGY,4,1,W,NA,29,32,7,W 1,26,6,1,4,1,25,8,0,3,1,19289.0,146.0
ARI,2016.0,69,2016-03-12,A,EDM,4,0,W,NA,30,32,7,W 2,29,24,1,2,0,44,32,0,3,0,16839.0,149.0
ARI,2016.0,70,2016-03-17,H,SJS,3,1,W,NA,31,32,7,W 3,22,9,1,2,0,28,9,0,2,0,13005.0,148.0
ARI,2016.0,71,2016-03-19,H,TBL,0,2,L,NA,31,33,7,L 1,32,17,0,6,0,36,19,0,4,0,14183.0,155.0
ARI,2016.0,72,2016-03-20,A,SJS,0,3,L,NA,31,34,7,L 2,25,10,0,4,0,36,8,2,5,0,15756.0,149.0
ARI,2016.0,73,2016-03-22,H,EDM,4,2,W,NA,32,34,7,W 1,31,8,1,3,0,29,6,2,4,0,13408.0,145.0
ARI,2016.0,74,2016-03-24,H,DAL,3,1,W,NA,33,34,7,W 2,30,4,0,6,1,38,12,0,3,0,11887.0,148.0
ARI,2016.0,75,2016-03-26,H,PHI,2,1,W,NA,34,34,7,W 3,17,33,1,3,0,35,28,1,5,0,16002.0,164.0
ARI,2016.0,76,2016-03-28,H,CGY,2,5,L,NA,34,35,7,L 1,24,16,2,4,0,21,38,2,3,0,14347.0,150.0
ARI,2016.0,77,2016-03-31,A,DAL,1,4,L,NA,34,36,7,L 2,32,16,0,2,0,33,16,1,3,0,18532.0,148.0
ARI,2016.0,78,2016-04-02,H,WSH,3,0,W,NA,35,36,7,W 1,27,9,0,1,0,31,7,0,2,0,17125.0,138.0
ARI,2016.0,79,2016-04-04,A,STL,2,5,L,NA,35,37,7,L 1,27,28,0,3,0,26,12,2,6,1,19465.0,150.0
ARI,2016.0,80,2016-04-05,A,CHI,2,6,L,NA,35,38,7,L 2,31,21,0,6,0,32,10,3,6,1,21884.0,142.0
ARI,2016.0,81,2016-04-07,A,NSH,2,3,L,OT,35,38,8,L 3,18,12,0,2,0,31,6,1,5,0,17113.0,152.0
ARI,2016.0,82,2016-04-09,A,SJS,0,1,L,NA,35,39,8,L 4,20,27,0,4,0,32,13,1,6,0,17562.0,139.0
BOS,2016.0,1,2015-10-08,H,WPG,2,6,L,NA,0,1,0,L 1,31,2,0,2,0,32,6,0,0,0,17565.0,146.0
BOS,2016.0,2,2015-10-10,H,MTL,2,4,L,NA,0,2,0,L 2,21,37,1,4,0,38,16,1,6,0,17565.0,170.0
BOS,2016.0,3,2015-10-12,H,TBL,3,6,L,NA,0,3,0,L 3,30,8,3,4,0,23,8,2,4,0,17565.0,150.0
BOS,2016.0,4,2015-10-14,A,COL,6,2,W,NA,1,3,0,W 1,25,8,0,2,0,22,4,1,4,0,15082.0,137.0
BOS,2016.0,5,2015-10-17,A,ARI,5,3,W,NA,2,3,0,W 2,43,13,3,6,1,23,17,1,4,0,13411.0,155.0
BOS,2016.0,6,2015-10-21,H,PHI,4,5,L,OT,2,3,1,L 1,30,19,1,3,1,37,8,1,2,0,17565.0,153.0
BOS,2016.0,7,2015-10-23,A,NYI,5,3,W,NA,3,3,1,W 1,26,9,0,3,0,26,9,1,2,0,13113.0,165.0
BOS,2016.0,8,2015-10-27,H,ARI,6,0,W,NA,4,3,1,W 2,27,4,1,4,0,24,28,0,3,0,17565.0,154.0
BOS,2016.0,9,2015-10-30,A,FLA,3,1,W,NA,5,3,1,W 3,30,25,2,3,0,32,6,1,6,0,14112.0,150.0
BOS,2016.0,10,2015-10-31,A,TBL,3,1,W,NA,6,3,1,W 4,34,10,1,3,0,22,6,1,5,0,19092.0,146.0
BOS,2016.0,11,2015-11-03,H,DAL,3,5,L,NA,6,4,1,L 1,39,8,1,4,0,19,8,3,4,0,17565.0,153.0
BOS,2016.0,12,2015-11-05,A,WSH,1,4,L,NA,6,5,1,L 2,29,11,1,2,0,31,9,1,4,0,18506.0,155.0
BOS,2016.0,13,2015-11-07,A,MTL,2,4,L,NA,6,6,1,L 3,31,6,1,5,0,33,16,2,3,0,21288.0,166.0
BOS,2016.0,14,2015-11-08,A,NYI,2,1,W,NA,7,6,1,W 1,27,16,1,3,0,37,8,1,7,0,13197.0,150.0
BOS,2016.0,15,2015-11-12,H,COL,2,3,L,NA,7,7,1,L 1,27,13,1,2,0,30,17,0,3,0,17565.0,154.0
BOS,2016.0,16,2015-11-14,H,DET,3,1,W,NA,8,7,1,W 1,31,6,0,1,0,23,2,1,3,0,17565.0,144.0
BOS,2016.0,17,2015-11-17,H,SJS,4,5,L,NA,8,8,1,L 1,29,8,2,3,0,28,6,2,5,0,17565.0,152.0
BOS,2016.0,18,2015-11-19,H,MIN,4,2,W,NA,9,8,1,W 1,38,29,1,4,0,26,17,0,3,0,17565.0,149.0
BOS,2016.0,19,2015-11-21,H,TOR,2,0,W,NA,10,8,1,W 2,37,2,0,1,0,22,2,0,1,0,17565.0,153.0
BOS,2016.0,20,2015-11-23,A,TOR,4,3,W,SO,11,8,1,W 3,29,16,0,3,1,42,10,0,6,0,19609.0,178.0
BOS,2016.0,21,2015-11-25,A,DET,3,2,W,OT,12,8,1,W 4,22,6,0,3,0,34,6,0,3,0,20027.0,144.0
BOS,2016.0,22,2015-11-27,H,NYR,4,3,W,NA,13,8,1,W 5,34,9,2,3,0,27,21,1,3,0,17565.0,153.0
BOS,2016.0,23,2015-12-02,A,EDM,2,3,L,SO,13,8,2,L 1,40,10,0,2,0,36,4,0,5,1,16839.0,169.0
BOS,2016.0,24,2015-12-04,A,CGY,4,5,L,OT,13,8,3,L 2,38,10,0,1,1,37,4,0,4,0,19289.0,161.0
BOS,2016.0,25,2015-12-05,A,VAN,4,0,W,NA,14,8,3,W 1,22,25,0,1,0,17,31,0,3,0,18570.0,144.0
BOS,2016.0,26,2015-12-07,H,NSH,2,3,L,NA,14,9,3,L 1,17,26,1,3,0,33,18,2,7,0,17565.0,156.0
BOS,2016.0,27,2015-12-09,A,MTL,3,1,W,NA,15,9,3,W 1,23,8,0,2,1,33,6,0,3,0,21288.0,157.0
BOS,2016.0,28,2015-12-12,H,FLA,3,1,W,NA,16,9,3,W 2,25,8,1,1,0,27,8,0,1,0,17565.0,151.0
