player,line,team
Matt MacKenzie,,WSH
Andrey Makarov,Scratched,WSH
Jake McCabe,LD1,WSH
Cody McCormick,IR1,WSH
Matt Moulson,LW4,WSH
Casey Nelson,Scratched,WSH
Anders Nilsson,G2,WSH
Alex Nylander,Scratched,WSH
Eric O'Dell,Scratched,WSH
Cal O'Reilly,Scratched,WSH
Ryan O'Reilly,C1,WSH
Kyle Okposo,LW1,WSH
Linus Omark,Scratched,WSH
Dennis Persson,,WSH
Sam Reinhart,RW2,WSH
Rasmus Ristolainen,RD1,WSH
Evan Rodrigues,Scratched,WSH
Drew Schiestel,,WSH
Cole Schneider,Scratched,WSH
Michael Sdao,,WSH
Alexander Sulzer,Scratched,WSH
Kevin Sundher,,WSH
Paul Szczechura,Scratched,WSH
Shawn Szydlowski,,WSH
Jamie Tardif,Scratched,WSH
Linus Ullmark,Scratched,WSH
